"condor_memb","name","entity","tissue_type"
3,"MRPS12","gene","BLADDER"
3,"MRPS16","gene","BLADDER"
3,"MYB","gene","BLADDER"
2,"MYC","gene","BLADDER"
3,"MYO9A","gene","BLADDER"
3,"MZF1","gene","BLADDER"
3,"NAA30","gene","BLADDER"
1,"NAALADL2","gene","BLADDER"
1,"NAP1L2","gene","BLADDER"
3,"NBR1","gene","BLADDER"
3,"NCOA5","gene","BLADDER"
2,"ND6","gene","BLADDER"
3,"NDFIP2","gene","BLADDER"
2,"NDUFAB1","gene","BLADDER"
2,"NDUFS5","gene","BLADDER"
3,"NEURL4","gene","BLADDER"
2,"NME1","gene","BLADDER"
3,"NOL6","gene","BLADDER"
2,"NRAP","gene","BLADDER"
3,"NSUN5","gene","BLADDER"
1,"NSUN6","gene","BLADDER"
3,"NUDT9","gene","BLADDER"
3,"PAF1","gene","BLADDER"
3,"PARG","gene","BLADDER"
3,"PARP1","gene","BLADDER"
3,"PBRM1","gene","BLADDER"
3,"PCNX4","gene","BLADDER"
1,"PDE4D","gene","BLADDER"
3,"PDPR","gene","BLADDER"
3,"PDSS2","gene","BLADDER"
3,"PHAF1","gene","BLADDER"
3,"PHF6","gene","BLADDER"
1,"PHF8","gene","BLADDER"
3,"PHKB","gene","BLADDER"
3,"PIGK","gene","BLADDER"
3,"PKN2","gene","BLADDER"
3,"PPP5C","gene","BLADDER"
2,"PSMB6","gene","BLADDER"
3,"PSMD8","gene","BLADDER"
1,"RAD52","gene","BLADDER"
1,"RALGAPA1","gene","BLADDER"
3,"RBM33","gene","BLADDER"
1,"RIOK2","gene","BLADDER"
1,"RNF111","gene","BLADDER"
3,"RNF139","gene","BLADDER"
2,"RPS12","gene","BLADDER"
2,"RPS16","gene","BLADDER"
2,"RPS6KL1","gene","BLADDER"
2,"RUNX1","gene","BLADDER"
3,"SARS2","gene","BLADDER"
2,"SELENOF","gene","BLADDER"
1,"SENP8","gene","BLADDER"
3,"SETBP1","gene","BLADDER"
3,"SET","gene","BLADDER"
3,"SFR1","gene","BLADDER"
3,"SLC31A1","gene","BLADDER"
3,"SUPT5H","gene","BLADDER"
