"","x"
"ANP32B_B",3
"ANP32D_B",2
"ANP32E_B",1
"ANPEP_B",2
"ANTXR1_B",3
"ANTXR2_B",1
"ANTXRL_B",1
"ANXA10_B",1
"ANXA11_B",1
"ANXA13_B",1
"ANXA1_B",1
"ANXA2R_B",1
"ANXA2_B",2
"ANXA3_B",1
"ANXA4_B",3
"ANXA5_B",3
"ANXA6_B",2
"ANXA7_B",1
"ANXA8L1_B",2
"ANXA8_B",2
"ANXA9_B",3
"AOAH-IT1_B",1
"AOAH_B",1
"AOC1_B",1
"AOC2_B",3
"AOC3_B",1
"AOX1_B",2
"AP1AR_B",3
"AP1B1_B",3
"AP1G1_B",3
"AP1G2_B",3
"AP1M1_B",3
"AP1M2_B",3
"AP1S1_B",3
"AP1S2_B",3
"AP1S3_B",3
"AP2A1_B",3
"AP2A2_B",3
"AP2B1_B",3
"AP2M1_B",3
"AP2S1_B",2
"AP3B1_B",3
"AP3B2_B",3
"AP3D1_B",3
"AP3M1_B",3
"AP3M2_B",3
"AP3S1_B",3
"AP3S2_B",3
"AP4B1-AS1_B",1
"AP4B1_B",3
"AP4E1_B",3
"AP4M1_B",3
"AP4S1_B",3
"AP5B1_B",3
"AP5M1_B",3
"AP5S1_B",3
"AP5Z1_B",3
"APAF1_B",3
"APBA1_B",3
"APBA2_B",1
"APBA3_B",3
"APBB1IP_B",1
"APBB1_B",3
"APBB2_B",1
"APBB3_B",3
"APC2_B",3
"APCDD1L_B",3
"APCDD1_B",3
"APCS_B",2
"APC_B",1
"APEH_B",3
"APELA_B",1
"APEX1_B",2
"APEX2_B",3
"APH1A_B",3
"APH1B_B",3
"API5_B",3
"APIP_B",3
"APLF_B",3
"APLNR_B",3
"APLN_B",2
"APLP1_B",3
"APLP2_B",3
"APMAP_B",3
"APOA1-AS_B",3
"APOA1_B",3
"APOA2_B",1
"APOA4_B",2
"APOA5_B",2
"APOBEC1_B",2
"APOBEC2_B",1
"APOBEC3A_B",3
"APOBEC3B-AS1_B",2
"APOBEC3B_B",3
"APOBEC3C_B",3
"APOBEC3D_B",3
"APOBEC3F_B",3
"APOBEC3G_B",3
"APOBEC3H_B",3
"APOBEC4_B",1
"APOBR_B",3
"APOB_B",3
"APOC1_B",3
"APOC2_B",3
"APOC3_B",2
"APOD_B",1
"APOE_B",3
"APOF_B",1
"APOH_B",1
"APOL1_B",2
"APOL2_B",3
"APOL3_B",1
"APOL4_B",3
"APOL5_B",1
"APOL6_B",1
"APOLD1_B",1
"APOM_B",3
"APOOL_B",1
"APOO_B",3
"APPBP2_B",1
"APPL1_B",3
"APPL2_B",1
"APP_B",1
"APRT_B",3
"APTR_B",3
"APTX_B",3
"AQP10_B",3
"AQP11_B",3
"AQP12A_B",3
"AQP12B_B",3
"AQP1_B",3
"AQP2_B",2
"AQP3_B",2
"AQP4-AS1_B",3
"AQP4_B",1
"AQP5_B",3
"AQP6_B",3
"AQP7P5_B",1
"AQP7_B",3
"AQP8_B",3
"AQP9_B",1
"AQR_B",3
"ARAF_B",3
"ARAP1_B",3
"ARAP2_B",1
"ARAP3_B",3
"ARCN1_B",3
"ARC_B",3
"AREG_B",2
"AREL1_B",3
"ARF1_B",3
"ARF3_B",3
"ARF4-AS1_B",2
"ARF4_B",2
"ARF5_B",3
"ARF6_B",2
"ARFGAP1_B",3
"ARFGAP2_B",3
"ARFGAP3_B",3
"ARFGEF1_B",3
"ARFGEF2_B",3
"ARFGEF3_B",3
"ARFIP1_B",1
"ARFIP2_B",3
"ARFRP1_B",3
"ARG1_B",1
"ARG2_B",3
"ARGFX_B",2
"ARGLU1_B",3
"ARHGAP10_B",3
"ARHGAP11A_B",3
"ARHGAP11B_B",3
"ARHGAP12_B",3
"ARHGAP15_B",1
"ARHGAP17_B",3
"ARHGAP18_B",1
"ARHGAP19_B",1
"ARHGAP1_B",3
"ARHGAP20_B",3
"ARHGAP21_B",1
"ARHGAP22_B",1
"ARHGAP23_B",3
"ARHGAP24_B",1
"ARHGAP25_B",1
"ARHGAP26-AS1_B",1
"ARHGAP26-IT1_B",1
"ARHGAP26_B",1
"ARHGAP27_B",3
"ARHGAP28_B",1
"ARHGAP29_B",1
"ARHGAP30_B",3
"ARHGAP31-AS1_B",3
"ARHGAP31_B",3
"ARHGAP32_B",1
"ARHGAP33_B",3
"ARHGAP35_B",3
"ARHGAP36_B",3
"ARHGAP39_B",3
"ARHGAP40_B",3
"ARHGAP42_B",1
"ARHGAP44_B",3
"ARHGAP4_B",3
"ARHGAP5_B",3
"ARHGAP6_B",3
"ARHGAP8_B",3
"ARHGAP9_B",1
"ARHGDIA_B",3
"ARHGDIB_B",1
"ARHGDIG_B",3
"ARHGEF10L_B",3
"ARHGEF10_B",3
"ARHGEF11_B",1
"ARHGEF12_B",1
"ARHGEF15_B",3
"ARHGEF16_B",3
"ARHGEF17_B",3
"ARHGEF18_B",3
"ARHGEF19_B",3
"ARHGEF1_B",3
"ARHGEF25_B",3
"ARHGEF26-AS1_B",3
"ARHGEF26_B",1
"ARHGEF28_B",1
"ARHGEF2_B",1
"ARHGEF3-AS1_B",1
"ARHGEF33_B",1
"ARHGEF35_B",3
"ARHGEF37_B",1
"ARHGEF38-IT1_B",1
"ARHGEF38_B",1
"ARHGEF39_B",3
"ARHGEF3_B",1
"ARHGEF40_B",3
"ARHGEF4_B",3
"ARHGEF5_B",3
"ARHGEF6_B",1
"ARHGEF7-AS2_B",3
"ARHGEF7_B",1
"ARHGEF9-IT1_B",1
"ARHGEF9_B",1
"ARID1A_B",3
"ARID1B_B",1
"ARID2_B",3
"ARID3A_B",3
"ARID3B_B",3
"ARID3C_B",3
"ARID4A_B",1
"ARID4B_B",1
"ARID5A_B",3
"ARID5B_B",1
"ARIH1_B",3
"ARIH2_B",3
"ARL10_B",3
"ARL11_B",2
"ARL13A_B",1
"ARL13B_B",1
"ARL14EPL_B",1
"ARL14EP_B",3
"ARL14_B",2
"ARL15_B",3
"ARL16_B",3
"ARL17A_B",3
"ARL1_B",3
"ARL2BP_B",3
"ARL3_B",3
"ARL4A_B",3
"ARL4C_B",3
"ARL4D_B",2
"ARL5A_B",1
"ARL5B_B",3
"ARL5C_B",3
"ARL6IP1_B",3
"ARL6IP4_B",3
"ARL6IP5_B",2
"ARL6IP6_B",3
"ARL6_B",3
"ARL8A_B",3
"ARL8B_B",3
"ARL9_B",3
"ARMC10_B",3
"ARMC12_B",1
"ARMC1_B",3
"ARMC2_B",1
"ARMC3_B",1
"ARMC5_B",3
"ARMC6_B",3
"ARMC7_B",3
"ARMC8_B",3
"ARMC9_B",3
"ARMCX1_B",3
"ARMCX2_B",3
"ARMCX3_B",3
"ARMCX4_B",1
"ARMCX5_B",1
"ARMCX6_B",3
"ARMS2_B",3
"ARMT1_B",3
"ARNT2_B",3
"ARNT_B",1
"ARPC1A_B",3
"ARPC1B_B",3
"ARPC2_B",1
"ARPC3_B",3
"ARPC4_B",3
"ARPC5L_B",3
"ARPC5_B",2
"ARPIN_B",3
"ARPP19_B",1
"ARPP21_B",1
"ARR3_B",1
"ARRB1_B",3
"ARRB2_B",3
"ARRDC1-AS1_B",3
"ARRDC1_B",3
"ARRDC2_B",3
"ARRDC3-AS1_B",2
"ARRDC3_B",1
"ARRDC4_B",3
"ARRDC5_B",1
"ARSA_B",3
"ARSB_B",1
"ARSD_B",3
"ARSF_B",1
"ARSG_B",3
"ARSH_B",1
"ARSI_B",3
"ARSJ_B",1
"ARSK_B",2
"ART1_B",1
"ART3_B",1
"ART4_B",2
"ART5_B",3
"ARTN_B",3
"ARV1_B",3
"ARVCF_B",3
"ARX_B",3
"AR_B",2
"AS3MT_B",3
"ASAH1_B",3
"ASAH2B_B",3
"ASAH2_B",1
"ASAP1-IT2_B",1
"ASAP1_B",1
"ASAP2_B",1
"ASAP3_B",3
"ASB10_B",2
"ASB11_B",1
"ASB12_B",3
"ASB13_B",3
"ASB14_B",1
"ASB15_B",1
"ASB16-AS1_B",3
"ASB16_B",3
"ASB17_B",1
"ASB18_B",1
"ASB1_B",3
"ASB2_B",3
"ASB3_B",3
"ASB4_B",1
"ASB5_B",1
"ASB6_B",3
"ASB7_B",3
"ASB8_B",1
"ASB9_B",3
"ASCC1_B",1
"ASCC2_B",3
"ASCC3_B",3
"ASCL1_B",2
"ASCL2_B",3
"ASCL3_B",1
"ASCL4_B",1
"ASCL5_B",3
"ASF1A_B",3
"ASF1B_B",2
"ASGR1_B",3
"ASGR2_B",1
"ASH1L-AS1_B",3
"ASH1L_B",1
"ASH2L_B",3
"ASIC1_B",3
"ASIC2_B",3
"ASIC3_B",3
"ASIC4_B",3
"ASIC5_B",1
"ASIP_B",1
"ASL_B",3
"ASMTL_B",3
"ASMT_B",3
"ASNSD1_B",1
"ASNS_B",3
"ASPA_B",1
"ASPDH_B",3
"ASPG_B",3
"ASPHD1_B",3
"ASPHD2_B",3
"ASPH_B",2
"ASPM_B",1
